Name,Wikipage,Award,Field,Year,Gender,Status
John O'Keefe,https://en.wikipedia.org/wiki/John_O%27Keefe_(neuroscientist),Nobel,Physiology or Medicine,2014,male,alive
May-Britt Moser,https://en.wikipedia.org/wiki/May-Britt_Moser,Nobel,Physiology or Medicine,2014,female,alive
Edvard Moser,https://en.wikipedia.org/wiki/Edvard_Moser,Nobel,Physiology or Medicine,2014,male,alive
William C. Campbell,https://en.wikipedia.org/wiki/William_C._Campbell_(scientist),Nobel,Physiology or Medicine,2015,male,alive
Satoshi ?mura,https://en.wikipedia.org/wiki/Satoshi_%C5%8Cmura,Nobel,Physiology or Medicine,2015,male,alive
Tu Youyou,https://en.wikipedia.org/wiki/Tu_Youyou,Nobel,Physiology or Medicine,2015,female,alive
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman,Nobel,Economics,2008,male,alive
Elinor Ostrom,https://en.wikipedia.org/wiki/Elinor_Ostrom,Nobel,Economics,2009,female,alive
Oliver E. Williamson,https://en.wikipedia.org/wiki/Oliver_E._Williamson,Nobel,Economics,2009,male,alive
Peter A. Diamond,https://en.wikipedia.org/wiki/Peter_Diamond,Nobel,Economics,2010,male,alive
Dale T. Mortensen,https://en.wikipedia.org/wiki/Dale_T._Mortensen,Nobel,Economics,2010,male,alive
Christopher A. Pissarides,https://en.wikipedia.org/wiki/Christopher_A._Pissarides,Nobel,Economics,2010,male,alive
Thomas J. Sargent,https://en.wikipedia.org/wiki/Thomas_J._Sargent,Nobel,Economics,2011,male,alive
Christopher A. Sims,https://en.wikipedia.org/wiki/Christopher_A._Sims,Nobel,Economics,2011,male,alive
Alvin E. Roth,https://en.wikipedia.org/wiki/Alvin_E._Roth,Nobel,Economics,2012,male,alive
Lloyd S. Shapley,https://en.wikipedia.org/wiki/Lloyd_Shapley,Nobel,Economics,2012,male,alive
Eugene F. Fama,https://en.wikipedia.org/wiki/Eugene_Fama,Nobel,Economics,2013,male,alive
Lars Peter Hansen,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Nobel,Economics,2013,male,alive
Robert J. Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Nobel,Economics,2013,male,alive
Jean Tirole,https://en.wikipedia.org/wiki/Jean_Tirole,Nobel,Economics,2014,male,alive
Angus Deaton,https://en.wikipedia.org/wiki/Angus_Deaton,Nobel,Economics,2015,male,alive
Shizuo Akira,https://en.wikipedia.org/wiki/Shizuo_Akira,Citation Laureate,Physiology or Medicine,2008,male,alive
Bruce Beutler,https://en.wikipedia.org/wiki/Bruce_Beutler,Citation Laureate,Physiology or Medicine,2008,male,alive
Jules A. Hoffmann,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,Citation Laureate,Physiology or Medicine,2008,male,alive
Victor Ambros,https://en.wikipedia.org/wiki/Victor_Ambros,Citation Laureate,Physiology or Medicine,2008,male,alive
Gary Ruvkun,https://en.wikipedia.org/wiki/Gary_Ruvkun,Citation Laureate,Physiology or Medicine,2008,male,alive
Rory Collins,https://en.wikipedia.org/wiki/Rory_Collins,Citation Laureate,Physiology or Medicine,2008,male,alive
Richard Peto,https://en.wikipedia.org/wiki/Richard_Peto,Citation Laureate,Physiology or Medicine,2008,male,alive
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,Citation Laureate,Physiology or Medicine,2009,female,alive
Carol W. Greider,https://en.wikipedia.org/wiki/Carol_W._Greider,Citation Laureate,Physiology or Medicine,2009,female,alive
Jack W. Szostak,https://en.wikipedia.org/wiki/Jack_W._Szostak,Citation Laureate,Physiology or Medicine,2009,male,alive
James E. Rothman,https://en.wikipedia.org/wiki/James_Rothman,Citation Laureate,Physiology or Medicine,2009,male,alive
Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_Schekman,Citation Laureate,Physiology or Medicine,2009,male,alive
Seiji Ogawa,https://en.wikipedia.org/wiki/Seiji_Ogawa,Citation Laureate,Physiology or Medicine,2009,male,dead
Douglas Coleman,https://en.wikipedia.org/wiki/Douglas_L._Coleman,Citation Laureate,Physiology or Medicine,2010,male,dead
Jeffrey M. Friedman,https://en.wikipedia.org/wiki/Jeffrey_M._Friedman,Citation Laureate,Physiology or Medicine,2010,male,alive
Ernest McCulloch,https://en.wikipedia.org/wiki/Ernest_McCulloch,Citation Laureate,Physiology or Medicine,2010,male,dead
James Till,https://en.wikipedia.org/wiki/James_Till,Citation Laureate,Physiology or Medicine,2010,male,alive
Shinya Yamanaka,https://en.wikipedia.org/wiki/Shinya_Yamanaka,Citation Laureate,Physiology or Medicine,2010,male,alive
Ralph M. Steinman,https://en.wikipedia.org/wiki/Ralph_M._Steinman,Citation Laureate,Physiology or Medicine,2010,male,dead
Brian Druker,https://en.wikipedia.org/wiki/Brian_Druker,Citation Laureate,Physiology or Medicine,2011,male,alive
Nicholas Lydon,https://en.wikipedia.org/wiki/Nicholas_Lydon,Citation Laureate,Physiology or Medicine,2011,male,alive
Charles Sawyers,https://en.wikipedia.org/wiki/Charles_Sawyers,Citation Laureate,Physiology or Medicine,2011,male,alive
Robert S. Langer,https://en.wikipedia.org/wiki/Robert_S._Langer,Citation Laureate,Physiology or Medicine,2011,male,alive
Jacques Miller,https://en.wikipedia.org/wiki/Jacques_Miller,Citation Laureate,Physiology or Medicine,2011,male,alive
Richard Hynes,https://en.wikipedia.org/wiki/Richard_Hynes,Citation Laureate,Physiology or Medicine,2012,male,alive
Erkki Ruoslahti,https://en.wikipedia.org/wiki/Erkki_Ruoslahti,Citation Laureate,Physiology or Medicine,2012,male,alive
Masatoshi Takeichi,https://en.wikipedia.org/wiki/Masatoshi_Takeichi,Citation Laureate,Physiology or Medicine,2012,male,alive
Anthony R. Hunter,https://en.wikipedia.org/wiki/Anthony_R._Hunter,Citation Laureate,Physiology or Medicine,2012,male,alive
Anthony Pawson,https://en.wikipedia.org/wiki/Anthony_Pawson,Citation Laureate,Physiology or Medicine,2012,male,dead
Charles David Allis,https://en.wikipedia.org/wiki/Charles_David_Allis,Citation Laureate,Physiology or Medicine,2012,male,alive
Michael Grunstein,https://en.wikipedia.org/wiki/Michael_Grunstein,Citation Laureate,Physiology or Medicine,2012,male,alive
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,Citation Laureate,Physiology or Medicine,2013,male,alive
Adrian Bird,https://en.wikipedia.org/wiki/Adrian_Bird,Citation Laureate,Physiology or Medicine,2013,male,alive
Howard Cedar,https://en.wikipedia.org/wiki/Howard_Cedar,Citation Laureate,Physiology or Medicine,2013,male,alive
Aharon Razin,https://en.wikipedia.org/wiki/Aharon_Razin,Citation Laureate,Physiology or Medicine,2013,male,alive
Dennis Slamon,https://en.wikipedia.org/wiki/Dennis_Slamon,Citation Laureate,Physiology or Medicine,2013,male,alive
James E. Darnell,https://en.wikipedia.org/wiki/James_E._Darnell,Citation Laureate,Physiology or Medicine,2014,male,alive
David Julius,https://en.wikipedia.org/wiki/David_Julius,Citation Laureate,Physiology or Medicine,2014,male,alive
Charles Lee,https://en.wikipedia.org/wiki/Charles_Lee_(scientist),Citation Laureate,Physiology or Medicine,2014,male,alive
Robert G. Roeder,https://en.wikipedia.org/wiki/Robert_G._Roeder,Citation Laureate,Physiology or Medicine,2014,male,alive
Stephen W. Scherer,https://en.wikipedia.org/wiki/Stephen_W._Scherer,Citation Laureate,Physiology or Medicine,2014,male,alive
Robert Tjian,https://en.wikipedia.org/wiki/Robert_Tjian,Citation Laureate,Physiology or Medicine,2014,male,alive
Michael Wigler,https://en.wikipedia.org/wiki/Michael_Wigler,Citation Laureate,Physiology or Medicine,2014,male,alive
Jeffrey I. Gordon,https://en.wikipedia.org/wiki/Jeffrey_I._Gordon,Citation Laureate,Physiology or Medicine,2015,male,alive
Kazutoshi Mori,https://en.wikipedia.org/wiki/Kazutoshi_Mori,Citation Laureate,Physiology or Medicine,2015,male,alive
Peter Walter,https://en.wikipedia.org/wiki/Peter_Walter,Citation Laureate,Physiology or Medicine,2015,male,alive
Shimon Sakaguchi,https://en.wikipedia.org/wiki/Shimon_Sakaguchi,Citation Laureate,Physiology or Medicine,2015,male,alive
Andre Geim,https://en.wikipedia.org/wiki/Andre_Geim,Citation Laureate,Physics,2008,male,alive
Konstantin Novoselov,https://en.wikipedia.org/wiki/Konstantin_Novoselov,Citation Laureate,Physics,2008,male,alive
Dan Shechtman ,https://en.wikipedia.org/wiki/Dan_Shechtman,Citation Laureate,Physics,2008,male,alive
Vera Rubin,https://en.wikipedia.org/wiki/Vera_Rubin,Citation Laureate,Physics,2008,female,alive
Roger Penrose,https://en.wikipedia.org/wiki/Roger_Penrose,Citation Laureate,Physics,2008,male,alive
Yakir Aharonov,https://en.wikipedia.org/wiki/Yakir_Aharonov,Citation Laureate,Physics,2009,male,alive
Michael Berry,https://en.wikipedia.org/wiki/Michael_Berry_(physicist),Citation Laureate,Physics,2009,male,alive
John Pendry,https://en.wikipedia.org/wiki/John_Pendry,Citation Laureate,Physics,2009,male,alive
David R. Smith,https://en.wikipedia.org/wiki/David_R._Smith,Citation Laureate,Physics,2009,male,alive
Juan Ignacio Cirac Sasturain,https://en.wikipedia.org/wiki/Juan_Ignacio_Cirac_Sasturain,Citation Laureate,Physics,2009,male,alive
Peter Zoller,https://en.wikipedia.org/wiki/Peter_Zoller,Citation Laureate,Physics,2009,male,alive
Saul Perlmutter,https://en.wikipedia.org/wiki/Saul_Perlmutter,Citation Laureate,Physics,2010,male,alive
Adam G. Riess,https://en.wikipedia.org/wiki/Adam_Riess,Citation Laureate,Physics,2010,male,alive
Brian Schmidt,https://en.wikipedia.org/wiki/Brian_Schmidt,Citation Laureate,Physics,2010,male,alive
Charles L. Bennett,https://en.wikipedia.org/wiki/Charles_L._Bennett,Citation Laureate,Physics,2010,male,alive
Lyman Page,https://en.wikipedia.org/wiki/Lyman_Page,Citation Laureate,Physics,2010,male,alive
David Spergel,https://en.wikipedia.org/wiki/David_Spergel,Citation Laureate,Physics,2010,male,alive
Thomas Ebbesen,https://en.wikipedia.org/wiki/Thomas_Ebbesen,Citation Laureate,Physics,2010,male,alive
Alain Aspect,https://en.wikipedia.org/wiki/Alain_Aspect,Citation Laureate,Physics,2011,male,alive
John Clauser,https://en.wikipedia.org/wiki/John_Clauser,Citation Laureate,Physics,2011,male,alive
Anton Zeilinger,https://en.wikipedia.org/wiki/Anton_Zeilinger,Citation Laureate,Physics,2011,male,alive
Sajeev John,https://en.wikipedia.org/wiki/Sajeev_John,Citation Laureate,Physics,2011,male,alive
Eli Yablonovitch,https://en.wikipedia.org/wiki/Eli_Yablonovitch,Citation Laureate,Physics,2011,male,alive
Hideo Ohno,https://en.wikipedia.org/wiki/Hideo_Ohno,Citation Laureate,Physics,2011,male,alive
Stephen E. Harris,https://en.wikipedia.org/wiki/Stephen_E._Harris,Citation Laureate,Physics,2012,male,alive
Lene Hau,https://en.wikipedia.org/wiki/Lene_Hau,Citation Laureate,Physics,2012,female,alive
Leigh Canham,https://en.wikipedia.org/wiki/Leigh_Canham,Citation Laureate,Physics,2012,male,alive
Charles H. Bennett,https://en.wikipedia.org/wiki/Charles_H._Bennett_(computer_scientist),Citation Laureate,Physics,2012,male,alive
Gilles Brassard,https://en.wikipedia.org/wiki/Gilles_Brassard,Citation Laureate,Physics,2012,male,alive
William Wootters,https://en.wikipedia.org/wiki/William_Wootters,Citation Laureate,Physics,2012,male,alive
François Englert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert,Citation Laureate,Physics,2013,male,alive
Peter W. Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Citation Laureate,Physics,2013,male,alive
Geoffrey Marcy,https://en.wikipedia.org/wiki/Geoffrey_Marcy,Citation Laureate,Physics,2013,male,alive
Michel Mayor,https://en.wikipedia.org/wiki/Michel_Mayor,Citation Laureate,Physics,2013,male,alive
Didier Queloz,https://en.wikipedia.org/wiki/Didier_Queloz,Citation Laureate,Physics,2013,male,alive
Hideo Hosono,https://en.wikipedia.org/wiki/Hideo_Hosono,Citation Laureate,Physics,2013,male,alive
Charles L. Kane,https://en.wikipedia.org/wiki/Charles_L._Kane,Citation Laureate,Physics,2014,male,alive
Laurens W. Molenkamp,https://en.wikipedia.org/wiki/Laurens_W._Molenkamp,Citation Laureate,Physics,2014,male,alive
Ramamoorthy Ramesh,https://en.wikipedia.org/wiki/Ramamoorthy_Ramesh,Citation Laureate,Physics,2014,male,alive
Yoshinori Tokura,https://en.wikipedia.org/wiki/Yoshinori_Tokura,Citation Laureate,Physics,2014,male,alive
