Name,Wikipage,Award,Field,Year,Gender,Status
Charles F. Manski,https://en.wikipedia.org/wiki/Charles_F._Manski,Citation Laureate,Economics,2015,male,alive
Elon Lindenstrauss,https://en.wikipedia.org/wiki/Elon_Lindenstrauss,Fields Medal,Mathematics,2010,male,alive
Ngô B?o Châu,https://en.wikipedia.org/wiki/Ng%C3%B4_B%E1%BA%A3o_Ch%C3%A2u,Fields Medal,Mathematics,2011,male,alive
Stanislav Smirnov,https://en.wikipedia.org/wiki/Stanislav_Smirnov,Fields Medal,Mathematics,2012,male,alive
Cédric Villani,https://en.wikipedia.org/wiki/C%C3%A9dric_Villani,Fields Medal,Mathematics,2013,male,alive
Artur Avila,https://en.wikipedia.org/wiki/Artur_Avila,Fields Medal,Mathematics,2014,male,alive
Manjul Bhargava,https://en.wikipedia.org/wiki/Manjul_Bhargava,Fields Medal,Mathematics,2014,male,alive
Martin Hairer,https://en.wikipedia.org/wiki/Martin_Hairer,Fields Medal,Mathematics,2014,male,alive
Maryam Mirzakhani,https://en.wikipedia.org/wiki/Maryam_Mirzakhani,Fields Medal,Mathematics,2014,female,alive
John G. Thompson,https://en.wikipedia.org/wiki/John_G._Thompson,Abel Prize,Mathematics,2008,male,alive
Jacques Tits,https://en.wikipedia.org/wiki/Jacques_Tits,Abel Prize,Mathematics,2008,male,alive
Mikhail Leonidovich Gromov,https://en.wikipedia.org/wiki/Mikhail_Leonidovich_Gromov,Abel Prize,Mathematics,2009,male,alive
John Tate,https://en.wikipedia.org/wiki/John_Tate,Abel Prize,Mathematics,2010,male,alive
John Milnor,https://en.wikipedia.org/wiki/John_Milnor,Abel Prize,Mathematics,2011,male,alive
Endre Szemerédi,https://en.wikipedia.org/wiki/Endre_Szemer%C3%A9di,Abel Prize,Mathematics,2012,male,alive
Pierre Deligne,https://en.wikipedia.org/wiki/Pierre_Deligne,Abel Prize,Mathematics,2013,male,alive
Yakov Sinai,https://en.wikipedia.org/wiki/Yakov_Sinai,Abel Prize,Mathematics,2014,male,alive
John Forbes Nash Jr.,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.,Abel Prize,Mathematics,2014,male,dead
Louis Nirenberg,https://en.wikipedia.org/wiki/Louis_Nirenberg,Abel Prize,Mathematics,2015,male,alive
G. David Tilman,https://en.wikipedia.org/wiki/G._David_Tilman,International Prize for Biology,Biology,2008,male,alive
Winslow Briggs,https://en.wikipedia.org/wiki/Winslow_Briggs,International Prize for Biology,Biology,2009,male,alive
Nancy A. Moran,https://en.wikipedia.org/wiki/Nancy_A._Moran,International Prize for Biology,Biology,2010,female,alive
Eric H. Davidson,https://en.wikipedia.org/wiki/Eric_H._Davidson,International Prize for Biology,Biology,2011,male,dead
Joseph Altman,https://en.wikipedia.org/wiki/Joseph_Altman,International Prize for Biology,Biology,2012,male,alive
Joseph Felsenstein,https://en.wikipedia.org/wiki/Joseph_Felsenstein,International Prize for Biology,Biology,2013,male,alive
Peter Crane,https://en.wikipedia.org/wiki/Peter_Crane,International Prize for Biology,Biology,2014,male,alive
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,International Prize for Biology,Biology,2015,male,alive
Barbara Liskov,https://en.wikipedia.org/wiki/Barbara_Liskov,Turing Award,Computer Science,2008,female,alive
Charles P. Thacker,https://en.wikipedia.org/wiki/Charles_P._Thacker,Turing Award,Computer Science,2009,male,alive
Leslie Valiant,https://en.wikipedia.org/wiki/Leslie_Valiant,Turing Award,Computer Science,2010,male,alive
Judea Pearl,https://en.wikipedia.org/wiki/Judea_Pearl,Turing Award,Computer Science,2011,male,alive
Silvio Micali,https://en.wikipedia.org/wiki/Silvio_Micali,Turing Award,Computer Science,2012,male,alive
Shafi Goldwasser,https://en.wikipedia.org/wiki/Shafi_Goldwasser,Turing Award,Computer Science,2012,female,alive
Leslie Lamport,https://en.wikipedia.org/wiki/Leslie_Lamport,Turing Award,Computer Science,2013,male,alive
Michael Stonebraker,https://en.wikipedia.org/wiki/Michael_Stonebraker,Turing Award,Computer Science,2014,male,alive
Martin Hellman,https://en.wikipedia.org/wiki/Martin_Hellman,Turing Award,Computer Science,2015,male,alive
Whitfield Diffie,https://en.wikipedia.org/wiki/Whitfield_Diffie,Turing Award,Computer Science,2015,male,alive
Gordon Moore,https://en.wikipedia.org/wiki/Gordon_Moore,IEEE Medal of Honor,Computer Science,2008,male,alive
Robert H. Dennard,https://en.wikipedia.org/wiki/Robert_H._Dennard,IEEE Medal of Honor,Computer Science,2009,male,alive
Andrew Viterbi,https://en.wikipedia.org/wiki/Andrew_Viterbi,IEEE Medal of Honor,Computer Science,2010,male,alive
Morris Chang,https://en.wikipedia.org/wiki/Morris_Chang,IEEE Medal of Honor,Computer Science,2011,male,alive
John L. Hennessy,https://en.wikipedia.org/wiki/John_L._Hennessy,IEEE Medal of Honor,Computer Science,2012,male,alive
Irwin M. Jacobs,https://en.wikipedia.org/wiki/Irwin_M._Jacobs,IEEE Medal of Honor,Computer Science,2013,male,alive
B. Jayant Baliga,https://en.wikipedia.org/wiki/B._Jayant_Baliga,IEEE Medal of Honor,Computer Science,2014,male,alive
Mildred Dresselhaus,https://en.wikipedia.org/wiki/Mildred_Dresselhaus,IEEE Medal of Honor,Computer Science,2015,female,alive
