First_Name Middle_Name,Family_Name,Institution,Category
Todd R,Golub,1,Clinical Medicine
Vijay K,Kuchroo,1,Immunology
Bradley E,Bernstein,1,Molecular Biology & Genetics
Eric S,Lander,1,Biology & Biochemistry
Eric S,Lander,1,Molecular Biology & Genetics
David M,Sabatini,1,Molecular Biology & Genetics
Gad,Getz,1,Molecular Biology & Genetics
Manolis,Kellis,1,Molecular Biology & Genetics
Kristin G,Ardlie,1,Molecular Biology & Genetics
David M,Altshuler,1,Molecular Biology & Genetics
Steven A,Carr,1,Biology & Biochemistry
Stacey B,Gabriel,1,Clinical Medicine
Stacey B,Gabriel,1,Molecular Biology & Genetics
Andreas,Gnirke,1,Biology & Biochemistry
Candace,Guiducci,1,Molecular Biology & Genetics
Brian J,Haas,1,Microbiology
Heng,Li,1,Computer Science
Steven A,McCarroll,1,Molecular Biology & Genetics
Nick J,Patterson,1,Molecular Biology & Genetics
Jennifer R,Wortman,1,Biology & Biochemistry
Jennifer R,Wortman,1,Microbiology
Feng,Zhang,1,Neuroscience & Behavior
Huajian,Gao,1,Engineering
Dov F,Sax,1,Environment/Ecology
Shouheng,Sun,1,Chemistry
Gregory S,Tucker,1,Space Science
Zidong,Wang,1,Engineering
Xiaohui,Liu,1,Engineering
Zidong,Wang,1,Computer Science
Jonathan S,Weissman,1,Molecular Biology & Genetics
Yi,Jiang,1,Economics & Business
John P,O'Doherty,1,Neuroscience & Behavior
Isabella,Velicogna,1,Geosciences
Harry A,Atwater,1,Physics
David,Baltimore,1,Immunology
Mark E,Davis,1,Pharmacology & Toxicology
Richard S,Ellis,1,Space Science
William A,Goddard,1,Chemistry
Robert H,Grubbs,1,Chemistry
Babak,Hassibi,1,Computer Science
George X,Helou,1,Space Science
H Jeff,Kimble,1,Physics
John H,Seinfeld,1,Geosciences
Joel A,Tropp,1,Computer Science
Kerry J,Vahala,1,Physics
Paul O,Wennberg,1,Geosciences
Ron,Borland,1,"Social Sciences, general"
Dumitru,Baleanu,1,Mathematics
Stephane PA,Bordas,1,Computer Science
Graham J,Hutchings,1,Chemistry
Michael C,O'Donovan,1,Molecular Biology & Genetics
Michael C,O'Donovan,1,Psychiatry/Psychology
Michael J,Owen,1,Molecular Biology & Genetics
Michael J,Owen,1,Psychiatry/Psychology
Wouter,Poortinga,1,"Social Sciences, general"
Ruth,Duncan,1,Pharmacology & Toxicology
Sarah,Edkins,1,Molecular Biology & Genetics
William,Wijns,1,Clinical Medicine
Renu,Virmani,1,Clinical Medicine
Gregg W,Stone,1,Clinical Medicine
Helmut,Hillebrand,1,Environment/Ecology
