Henrik Lund,https://en.wikipedia.org/wiki/Henrik_Lund,Engineering
Brian Vad Mathiesen,https://en.wikipedia.org/wiki/Brian_Vad_Mathiesen,Engineering
Didier Raoult,https://en.wikipedia.org/wiki/Didier_Raoult,Microbiology
Robert A Smith,https://en.wikipedia.org/wiki/Robert_A_Smith,Clinical Medicine
Michael O'Keeffe,https://en.wikipedia.org/wiki/Michael_O%27Keeffe,Chemistry
Rainer Blatt,https://en.wikipedia.org/wiki/Rainer_Blatt,Physics
Peter Zoller,https://en.wikipedia.org/wiki/Peter_Zoller,Physics
Neville Owen,https://en.wikipedia.org/wiki/Neville_Owen,"Social Sciences, general"
Joseph Jankovic,https://en.wikipedia.org/wiki/Joseph_Jankovic,Neuroscience & Behavior
Simon White,https://en.wikipedia.org/wiki/Simon_White,Biology & Biochemistry
Jan Baeyens,https://en.wikipedia.org/wiki/Jan_Baeyens,Engineering
Thomas Wiegand,https://en.wikipedia.org/wiki/Thomas_Wiegand,Engineering
Jun Wang,https://en.wikipedia.org/wiki/Jun_Wang,Biology & Biochemistry
Jun Wang,https://en.wikipedia.org/wiki/Jun_Wang,Molecular Biology & Genetics
Jian Wang,https://en.wikipedia.org/wiki/Jian_Wang,Molecular Biology & Genetics
Huanming Yang,https://en.wikipedia.org/wiki/Huanming_Yang,Molecular Biology & Genetics
Charles Lee,https://en.wikipedia.org/wiki/Charles_Lee,Molecular Biology & Genetics
Eugene Braunwald,https://en.wikipedia.org/wiki/Eugene_Braunwald,Clinical Medicine
Paul M Ridker,https://en.wikipedia.org/wiki/Paul_M_Ridker,Clinical Medicine
Ali Khademhosseini,https://en.wikipedia.org/wiki/Ali_Khademhosseini,Materials Science
Heng Li,https://en.wikipedia.org/wiki/Heng_Li,Computer Science
Feng Zhang,https://en.wikipedia.org/wiki/Feng_Zhang,Neuroscience & Behavior
Huajian Gao,https://en.wikipedia.org/wiki/Huajian_Gao,Engineering
Xiaohui Liu,https://en.wikipedia.org/wiki/Xiaohui_Liu,Engineering
David Baltimore,https://en.wikipedia.org/wiki/David_Baltimore,Immunology
Robert H Grubbs,https://en.wikipedia.org/wiki/Robert_H_Grubbs,Chemistry
Babak Hassibi,https://en.wikipedia.org/wiki/Babak_Hassibi,Computer Science
Krzysztof Matyjaszewski,https://en.wikipedia.org/wiki/Krzysztof_Matyjaszewski,Chemistry
Subra Suresh,https://en.wikipedia.org/wiki/Subra_Suresh,Materials Science
Idit Zehavi,https://en.wikipedia.org/wiki/Idit_Zehavi,Space Science
John List,https://en.wikipedia.org/wiki/John_List,Economics & Business
Jens Nielsen,https://en.wikipedia.org/wiki/Jens_Nielsen,Biology & Biochemistry
